game_season,date_game,age,team_id,game_location,opp_id,game_result,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus
1,2019-10-23,27-214,BRK,,MIN,L (-1),1,38:10,17,33,.515,7,14,.500,9,10,.900,2,6,8,7,0,1,0,4,50,40.5,+18
2,2019-10-25,27-216,BRK,,NYK,W (+4),1,31:13,8,19,.421,2,8,.250,8,8,1.000,1,1,2,5,3,0,4,5,26,17.4,0
3,2019-10-27,27-218,BRK,@,MEM,L (-1),1,34:20,11,27,.407,5,12,.417,10,11,.909,1,6,7,7,2,1,2,1,37,29.8,+6
4,2019-10-30,27-221,BRK,,IND,L (-10),1,30:58,11,20,.550,2,6,.333,4,5,.800,0,7,7,6,1,1,1,1,28,24.6,-15
5,2019-11-01,27-223,BRK,,HOU,W (+7),1,34:29,7,18,.389,5,8,.625,3,4,.750,0,4,4,10,0,1,6,3,22,13.5,+10
6,2019-11-02,27-224,BRK,@,DET,L (-4),1,33:11,8,21,.381,0,6,.000,4,4,1.000,1,10,11,10,0,0,2,3,20,16.0,+1
7,2019-11-04,27-226,BRK,,NOP,W (+10),1,34:33,13,21,.619,2,6,.333,11,11,1.000,1,3,4,9,3,0,5,2,39,34.6,+11
8,2019-11-08,27-230,BRK,@,POR,W (+4),1,38:31,12,27,.444,4,8,.500,5,5,1.000,1,2,3,6,1,1,1,3,33,23.9,-7
9,2019-11-10,27-232,BRK,@,PHO,L (-26),1,25:07,7,16,.438,1,6,.167,0,0,,1,3,4,5,0,0,1,2,15,9.9,-31
